id,결석(16주),중간고사(100),퀴즈(100),기말고사(100)
1,1,26,37,48
2,1,55,35,7
3,1,67,40,52
4,4,46,0,10
5,0,39,0,30
6,0,64,55,37
7,4,57,0,25
8,0,14,30,13
9,2,72,10,48
10,2,82,80,85
11,0,67,15,78
12,0,61,20,62
13,6,34,0,25
14,0,89,75,81
15,1,44,5,23
16,0,35,75,76
17,0,57,5,70
18,0,46,20,14
19,0,48,10,10
20,0,75,85,93
21,0,62,47,37
22,4,17,0,0
23,0,62,20,27
24,0,65,35,31
25,1,37,5,12
26,0,58,5,31
27,3,0,0,4
28,3,42,0,0
29,0,61,15,19
30,1,6,0,10
31,0,46,5,32
32,1,51,45,33
33,0,68,50,46
34,1,49,0,27
35,1,62,0,20
36,0,65,30,33
37,1,80,50,77
38,1,73,75,93
39,0,60,0,19
40,1,61,10,47
